id,Inlock,cct_primera_opcion,nombre_primera_opcion,turno_primera_opcion,CCT_PROCED,nombre_procedencia,Coord_x_primera_opcion,Coord_y_primera_opcion,Coord_x_procedencia,Coord_y_procedencia
88,3,09DES0107Z,XOCHIMILCO,100,09DPR2737I,XOCHIMILCO,-99.105,19.2573,-99.106,19.2563
89,3,09DES0107Z,XOCHIMILCO,100,09DPR5080Y,PROFR. VICENTE V. YBARRA,-99.105,19.2573,-99.1017,19.2548
90,3,09DES0107Z,XOCHIMILCO,100,09DPR0011U,PROFR. CARITINO MALDONADO PÉREZ,-99.105,19.2573,-99.106,19.2462
91,3,09DES0107Z,XOCHIMILCO,100,09DPR2073U,IGNACIO RAMÍREZ,-99.105,19.2573,-99.1067,19.2562
92,3,09DES0107Z,XOCHIMILCO,100,09DPR3193N,PROFR. CARITINO MALDONADO PÉREZ,-99.105,19.2573,-99.106,19.2462
93,3,09DES0107Z,XOCHIMILCO,100,09DPR2969Z,QUIRINO MENDOZA Y CORTES,-99.105,19.2573,-99.1067,19.2568
94,3,09DES0107Z,XOCHIMILCO,100,09DPR5147P,PROFR. MAXIMILIANO MOLINA FUENTE,-99.105,19.2573,-99.1484,19.202
95,3,09DES0107Z,XOCHIMILCO,100,09DPR2051I,QUIRINO MENDOZA Y CORTES,-99.105,19.2573,-99.1067,19.2568
96,3,09DES0107Z,XOCHIMILCO,100,09DPR2073U,IGNACIO RAMÍREZ,-99.105,19.2573,-99.1067,19.2562
97,3,09DES0107Z,XOCHIMILCO,100,09DPR2036Q,VICENTE RIVA PALACIO,-99.105,19.2573,-99.1034,19.268
98,3,09DES0107Z,XOCHIMILCO,100,09DPR4236B,AARON CAMACHO LÓPEZ,-99.105,19.2573,-99.0279,19.2508
99,3,09DES0107Z,XOCHIMILCO,100,09DPR2044Z,CUAHILAMA,-99.105,19.2573,-99.0746,19.246
100,3,09DES0107Z,XOCHIMILCO,100,09DPR3193N,PROFR. CARITINO MALDONADO PÉREZ,-99.105,19.2573,-99.106,19.2462
101,3,09DES0107Z,XOCHIMILCO,100,09DPR2723F,XOCHIMILCO,-99.105,19.2573,-99.106,19.2563
102,3,09DES0107Z,XOCHIMILCO,100,09DPR2036Q,VICENTE RIVA PALACIO,-99.105,19.2573,-99.1034,19.268
103,3,09DES0107Z,XOCHIMILCO,100,09DPR2563I,TLAMACHIHUAPAN,-99.105,19.2573,-99.0736,19.243
104,3,09DES0107Z,XOCHIMILCO,100,09DPR0125W,PROFR. VICENTE V. YBARRA,-99.105,19.2573,-99.1017,19.2548
105,3,09DES0117G,GABRIELA MISTRAL,100,09DPR1002T,PROFR. BRAULIO RODRÍGUEZ,-99.0435,19.3919,-99.0301,19.3837
